time="2023-01-26T08:47:05+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-26T08:47:05+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-26T08:47:06+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37012 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:36986 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37020 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37024 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:48+08:00" level=info msg="[TCP] 127.0.0.1:37004 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:49+08:00" level=info msg="[TCP] 127.0.0.1:37044 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:49+08:00" level=info msg="[TCP] 127.0.0.1:37054 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59530 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59404 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59416 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59454 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59490 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59322 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59308 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59396 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59320 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59472 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59316 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59502 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59476 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59462 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59298 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:50+08:00" level=info msg="[TCP] 127.0.0.1:59424 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59402 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59340 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59374 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59514 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59460 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59364 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59348 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59434 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59448 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59346 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59290 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59382 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:51+08:00" level=info msg="[TCP] 127.0.0.1:59516 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37070 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37086 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37074 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37062 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37056 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37098 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:52+08:00" level=info msg="[TCP] 127.0.0.1:37092 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37248 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37228 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37146 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37276 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37218 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37280 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37174 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37260 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37178 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37196 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37232 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37168 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37116 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37194 --> 20.205.243.166:443 using GLOBAL"
time="2023-01-26T08:48:53+08:00" level=info msg="[TCP] 127.0.0.1:37204 --> 20.205.243.166:443 using GLOBAL"
