time="2023-01-25T17:44:30+08:00" level=info msg="Mixed(http+socks) proxy listening at: [::]:7891"
time="2023-01-25T17:44:30+08:00" level=info msg="RESTful API listening at: 127.0.0.1:9090"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🔰国外流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬国外媒体"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Youtube"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬Netflix"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🚀直接连接"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🎬哔哩哔哩"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ✈️Telegram"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider ⚓️其他流量"
time="2023-01-25T17:44:30+08:00" level=info msg="Start initial compatible provider 🍎苹果服务"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44704 --> encrypted-tbn2.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:46:10+08:00" level=info msg="[TCP] 127.0.0.1:44706 --> encrypted-tbn2.gstatic.com:443 using GLOBAL"
time="2023-01-25T17:46:15+08:00" level=info msg="[TCP] 127.0.0.1:55408 --> preview.redd.it:443 using GLOBAL"
time="2023-01-25T17:46:41+08:00" level=info msg="[TCP] 127.0.0.1:36670 --> adservice.google.com:443 using GLOBAL"
time="2023-01-25T17:46:41+08:00" level=info msg="[TCP] 127.0.0.1:36682 --> adservice.google.com.hk:443 using GLOBAL"
time="2023-01-25T17:46:48+08:00" level=info msg="[TCP] 127.0.0.1:41262 --> push.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T17:46:49+08:00" level=info msg="[TCP] 127.0.0.1:41272 --> github.com:443 using GLOBAL"
time="2023-01-25T17:46:50+08:00" level=info msg="[TCP] 127.0.0.1:41284 --> alive.github.com:443 using GLOBAL"
time="2023-01-25T17:46:51+08:00" level=info msg="[TCP] 127.0.0.1:41296 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:46:51+08:00" level=info msg="[TCP] 127.0.0.1:41308 --> avatars.githubusercontent.com:443 using GLOBAL"
time="2023-01-25T17:46:51+08:00" level=info msg="[TCP] 127.0.0.1:41322 --> github.githubassets.com:443 using GLOBAL"
time="2023-01-25T17:46:52+08:00" level=info msg="[TCP] 127.0.0.1:41332 --> api.github.com:443 using GLOBAL"
time="2023-01-25T17:47:54+08:00" level=info msg="[TCP] 127.0.0.1:58278 --> push.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T17:47:56+08:00" level=info msg="[TCP] 127.0.0.1:45816 --> alive.github.com:443 using GLOBAL"
time="2023-01-25T17:48:59+08:00" level=info msg="[TCP] 127.0.0.1:52954 --> push.services.mozilla.com:443 using GLOBAL"
time="2023-01-25T17:49:00+08:00" level=info msg="[TCP] 127.0.0.1:52958 --> alive.github.com:443 using GLOBAL"
time="2023-01-25T17:49:02+08:00" level=info msg="[TCP] 127.0.0.1:52972 --> contile.services.mozilla.com:443 using GLOBAL"
